"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.82111818766226,0.998,0.087,0,"11","SERPINE1"
1.67998294629453e-225,2.6200472306918,0.521,0.197,5.25112269523282e-221,"11","HSPA1B"
1.54945271465089e-122,2.39789898931322,0.447,0.211,4.8431243501843e-118,"11","CCL4L2"
3.24789769002998e-183,2.24785892201827,0.593,0.283,1.01519538097267e-178,"11","HSPA1A"
1.21027414243744e-188,2.24699033967442,0.253,0.059,3.7829538870167e-184,"11","LINC01736"
7.47176662915976e-107,2.21003305470569,0.414,0.197,2.33545009527647e-102,"11","CCL3L3"
1.31684260896521e-174,2.08820065267642,0.262,0.066,4.11605494284257e-170,"11","GLDN"
1.16769138759288e-185,2.08246725886073,0.315,0.088,3.64985297019908e-181,"11","PLD4"
1.84470959898048e-188,1.92882696837212,0.294,0.075,5.7660087935333e-184,"11","SYNDIG1"
6.5350079305255e-119,1.91914577247625,0.421,0.187,2.04264742884436e-114,"11","DNAJB1"
1.8287877602286e-80,1.91876732016521,0.343,0.163,5.71624190214653e-76,"11","NR4A1"
5.14491692430673e-87,1.91524122690643,0.492,0.284,1.60814668303056e-82,"11","CCL4"
3.91037055021326e-80,1.91424114365597,0.381,0.194,1.22226452288016e-75,"11","KLF2"
7.51429121545635e-52,1.87181871626909,0.368,0.218,2.34874200521519e-47,"11","GADD45B"
1.32709729325331e-104,1.87010128107959,0.41,0.19,4.14810800952187e-100,"11","HSPB1"
2.60663349245141e-220,1.86985488461482,0.701,0.335,8.14755430735536e-216,"11","JUN"
1.20488572909414e-140,1.83441731196748,0.478,0.211,3.76611132342955e-136,"11","RHOB"
3.50730842693117e-154,1.81504157246604,0.357,0.122,1.09627939500587e-149,"11","LILRB4"
3.87671744523208e-73,1.77731475364152,0.264,0.111,1.21174557185619e-68,"11","OTUD1"
1.20702555427312e-117,1.76365487372533,0.446,0.206,3.7727997749915e-113,"11","EGR1"
4.68177182260399e-107,1.70815656379496,0.289,0.104,1.46338141859133e-102,"11","CPM"
8.38690902616385e-86,1.69072566865124,0.619,0.414,2.62149615430803e-81,"11","DUSP1"
1.41031097150223e-118,1.69017981635529,0.271,0.088,4.40820900362451e-114,"11","LTC4S"
1.22806138771153e-273,1.66640613615709,0.673,0.261,3.83855147956994e-269,"11","SLC1A3"
1.36718242025687e-130,1.63736646799684,0.323,0.112,4.27340209099691e-126,"11","PDK4"
1.5238165540561e-93,1.62276876727229,0.328,0.137,4.76299340301316e-89,"11","IPCEF1"
1.96372992778671e-72,1.6135484094769,0.513,0.329,6.13803063528292e-68,"11","ZFP36"
